Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
66;19700188351;"Annals of Burns and Fire Disasters";journal;"15929566, 15929558";"Mediterranean Council for Burns and Fire Disasters";Yes;No;0,232;Q3;34;31;153;923;113;145;0,66;29,77;30,59;0;Italy;Western Europe;"Mediterranean Council for Burns and Fire Disasters";"2010-2025";"Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3); Emergency Nursing (Q3)";"Medicine; Nursing"
67;21100780673;"International Journal of Critical Illness and Injury Science";journal;"22295151, 22315004";"Wolters Kluwer Medknow Publications";Yes;No;0,228;Q3;22;30;106;677;91;95;0,82;22,57;33,98;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2015-2026";"Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine"
68;19700173165;"Signa Vitae";journal;"13345605, 1845206X";"Pharmamed Mado Ltd";No;No;0,227;Q3;17;179;441;5444;350;431;0,83;30,41;39,00;0;Croatia;Eastern Europe;"Pharmamed Mado Ltd";"2008-2026";"Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3)";"Medicine"
69;21101034371;"Medicina Katastrof";journal;"20701004, 26867966";"A.I. Burnazyan Federal Medical Biophysical Center";Yes;Yes;0,224;Q3;9;55;148;833;77;148;0,63;15,15;40,77;0;Russian Federation;Eastern Europe;"A.I. Burnazyan Federal Medical Biophysical Center";"2019-2025";"Emergency Medical Services (Q2); Health Professions (miscellaneous) (Q2); Emergency Medicine (Q3); Public Health, Environmental and Occupational Health (Q4)";"Health Professions; Medicine"
70;21100976770;"Medico-Biological and Socio-Psychological Issues of Safety in Emergency Situations";journal;"25417487, 19954441";"Nikiforov Russian Center of Emergency and Radiation Medicine, EMERCOM of Russia";Yes;No;0,217;Q3;7;37;117;674;64;117;0,65;18,22;32,91;0;Russian Federation;Eastern Europe;"Nikiforov Russian Center of Emergency and Radiation Medicine, EMERCOM of Russia";"2019-2025";"Emergency Medical Services (Q2); Emergency Medicine (Q3); Clinical Psychology (Q4); Psychiatry and Mental Health (Q4); Public Health, Environmental and Occupational Health (Q4)";"Health Professions; Medicine; Psychology"
71;29792;"Hong Kong Journal of Emergency Medicine";journal;"23095407, 10249079";"John Wiley and Sons Inc";Yes;No;0,216;Q3;18;68;177;1672;95;157;0,45;24,59;29,36;0;Hong Kong;Asiatic Region;"John Wiley and Sons Inc";"2004-2026";"Emergency Medicine (Q3)";"Medicine"
72;21101073950;"Annals of Critical Care";journal;"1818474X, 17269806";"Practical Medicine Publishing House LLC";Yes;Yes;0,212;Q3;11;51;142;2750;138;138;0,95;53,92;39,86;0;Russian Federation;Eastern Europe;"Practical Medicine Publishing House LLC";"2017-2026";"Anesthesiology and Pain Medicine (Q3); Critical Care and Intensive Care Medicine (Q3); Emergency Medical Services (Q3); Emergency Medicine (Q3); Law (Q3)";"Health Professions; Medicine; Social Sciences"
73;21101246364;"Journal of Trauma and Injury";journal;"27994317, 22871683";"The Korean Society of Traumatology";Yes;Yes;0,210;Q3;5;56;185;1160;119;178;0,62;20,71;24,26;0;South Korea;Asiatic Region;"The Korean Society of Traumatology";"2019, 2021-2025";"Emergency Medicine (Q3); Surgery (Q3)";"Medicine"
74;21100197951;"Journal of Acute Medicine";journal;"22115587, 22115595";"Ainosco Press";Yes;No;0,208;Q3;20;26;79;483;50;72;0,72;18,58;25,00;0;Taiwan;Asiatic Region;"Ainosco Press";"2011-2025";"Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3)";"Medicine"
75;21101022219;"Disaster and Emergency Medicine Journal";journal;"25435957, 24514691";"Via Medica";No;No;0,202;Q3;11;30;113;746;48;80;0,28;24,87;28,57;0;Poland;Eastern Europe;"Via Medica";"2019-2025";"Critical Care and Intensive Care Medicine (Q3); Emergency Medical Services (Q3); Emergency Medicine (Q3)";"Health Professions; Medicine"
